#Batch costTraining precTraining
621 0.36366445 0.9338154
622 0.6033731 0.9336749
623 0.38441163 0.9338076
624 0.24333617 0.93407255
625 0.4509191 0.93406665
626 0.46411893 0.93392855
627 0.32470134 0.93418634
628 0.6033792 0.933724
629 0.42748484 0.93378556
630 0.49293473 0.93365383
631 0.48607758 0.93339694
632 0.4807237 0.93339646
633 0.3846431 0.93352133
634 0.65662074 0.93320894
635 0.52858853 0.93314815
636 0.40466186 0.93308824
637 0.37451735 0.9332117
638 0.59954417 0.93285024
639 0.40873566 0.9328537
640 0.56550276 0.9326786
641 0.48766884 0.9326241
642 0.40411866 0.9326291
643 0.45606995 0.9326923
644 0.5603171 0.932581
645 0.38436025 0.9327586
646 0.27499253 0.93304795
647 0.47433904 0.93321997
648 0.42100704 0.93338966
649 0.48001418 0.93338925
650 0.399062 0.93355554
651 0.4320403 0.9334989
652 0.45660907 0.9333882
653 0.6308857 0.9331155
654 0.369833 0.93333334
655 0.47170702 0.93317205
656 0.45991325 0.93317306
657 0.25598297 0.93354565
658 0.39751253 0.9335443
659 0.34564707 0.9337002
660 0.4056346 0.93369794
661 0.44358248 0.9336439
662 0.31332168 0.9336934
663 0.38606772 0.93374234
664 0.39815167 0.93384147
665 0.3331186 0.9340404
666 0.40516984 0.93413657
667 0.46227887 0.93403196
668 0.33889744 0.93417656
669 0.46594957 0.934073
670 0.5667659 0.9339216
671 0.3199514 0.9341131
672 0.462625 0.93415695
673 0.44076672 0.9342004
674 0.39498362 0.9343391
675 0.50621814 0.9343333
676 0.2559561 0.934517
677 0.5998403 0.93432206
678 0.6261576 0.9340824
679 0.51264936 0.9337989
680 0.4676157 0.9337963
681 0.4575443 0.9337477
682 0.3590173 0.933837
683 0.48254463 0.9337887
684 0.2553143 0.93405795
685 0.37931442 0.9340991
686 0.4199909 0.93409497
687 0.34902865 0.9341355
688 0.5255725 0.9339539
689 0.33453116 0.9340388
690 0.36070773 0.93416667
691 0.37643778 0.93420595
692 0.38271946 0.9342448
693 0.43586257 0.9343264
694 0.4605587 0.9343213
695 0.4830447 0.9343162
696 0.6355517 0.93409866
697 0.48587456 0.9340947
698 0.26023948 0.9343014
699 0.37063015 0.9342965
700 0.43304482 0.93429166
701 0.5573026 0.9341625
702 0.5876831 0.9339934
703 0.42513314 0.9339491
704 0.5805232 0.9337827
705 0.42342946 0.9338618
706 0.4400994 0.9338592
707 0.40033865 0.93385667
708 0.4670607 0.9338942
709 0.33762047 0.9339713
710 0.50585294 0.93392855
711 0.26287335 0.9340837
712 0.67003065 0.9338443
713 0.42836806 0.9339202
714 0.5213682 0.93380064
715 0.50873023 0.9337597
716 0.4014714 0.9337577
717 0.3051502 0.9338326
718 0.4265142 0.9338685
719 0.3986974 0.9338661
720 0.32232317 0.934053
721 0.45091927 0.93408746
722 0.42373455 0.9341216
723 0.38061506 0.9341181
724 0.57239723 0.9341146
725 0.37900913 0.9341852
726 0.2783284 0.934292
727 0.38933295 0.9343612
728 0.38764557 0.93435675
729 0.5308617 0.93431586
730 0.29644653 0.9344203
731 0.4546086 0.9343795
732 0.5072653 0.9343391
733 0.28895658 0.93444204
734 0.3231573 0.9345798
735 0.37502497 0.93460995
736 0.38979223 0.93467516
737 0.4308484 0.93470466
738 0.4594408 0.93473387
739 0.82238525 0.9344491
740 0.52992743 0.93440974
741 0.39121443 0.9343361
742 0.42528847 0.9342975
743 0.44734108 0.93432784
744 0.44872114 0.93428963
745 0.5576805 0.9342177
746 0.41337833 0.9343496
747 0.43493253 0.93441296
748 0.53765714 0.9344086
749 0.52697635 0.9343374
750 0.30692902 0.93443334
751 0.35482433 0.93449533
752 0.625139 0.93439156
753 0.72842556 0.9341568
754 0.42712134 0.93415356
755 0.43501645 0.93421566
756 0.31088167 0.9343099
757 0.67724603 0.93414396
758 0.596176 0.93401164
759 0.40464947 0.9339768
760 0.5079282 0.9339744
761 0.48205468 0.93394
762 0.45394796 0.93400127
763 0.31119072 0.9340938
764 0.34956464 0.9341225
765 0.7172259 0.9339937
766 0.23715273 0.9341479
767 0.49426374 0.9341448
768 0.38567078 0.934204
769 0.2985198 0.9343556
770 0.45845264 0.93425924
771 0.23099928 0.93437886
772 0.3251656 0.9345282
773 0.32895896 0.9346154
774 0.47928867 0.9346107
775 0.35125002 0.93463635
776 0.3459296 0.934692
777 0.4281824 0.93468714
778 0.45135868 0.93471223
779 0.550429 0.9347073
780 0.4080218 0.9347619
781 0.3492875 0.9348161
782 0.3935176 0.93484044
783 0.4026455 0.9348645
784 0.39981347 0.93482983
785 0.35565457 0.9348538
786 0.3892277 0.9349068
787 0.45526803 0.9349013
788 0.43790275 0.93483794
789 0.549433 0.9348039
790 0.6042102 0.93462646
791 0.31503806 0.93473655
792 0.4151497 0.9347317
793 0.53042597 0.93464166
794 0.5191397 0.93455213
795 0.3623651 0.9346045
796 0.42617932 0.9346847
797 0.39712557 0.93468016
798 0.49000406 0.9346477
799 0.44493082 0.93455964
800 0.39365414 0.9346111
801 0.22979052 0.9348007
802 0.3918796 0.9349062
803 0.29763126 0.935011
804 0.32615116 0.93511516
805 0.42884412 0.9351366
806 0.3490634 0.93515795
807 0.30736127 0.9352063
808 0.46513966 0.93517315
809 0.5387831 0.93511325
810 0.3859498 0.9351344
811 0.33270904 0.9351822
812 0.45543918 0.93514955
813 0.42610633 0.93514377
814 0.435707 0.9351646
815 0.45602736 0.9351587
816 0.46620205 0.93517935
817 0.4020595 0.9351735
818 0.27821264 0.93524635
819 0.23656818 0.9353971
820 0.49958166 0.9353646
821 0.36181086 0.9354361
822 0.52720034 0.93535197
823 0.45524547 0.9352941
824 0.41188526 0.9352881
825 0.33506325 0.9353077
826 0.4817212 0.9352761
827 0.3292679 0.9353466
828 0.45279393 0.93534046
829 0.36466587 0.93543565
830 0.4512729 0.9354293
831 0.42020428 0.9354481
832 0.22811629 0.93554217
833 0.5340487 0.9354855
834 0.39837545 0.9355539
835 0.5955116 0.9354229
836 0.3109885 0.9355159
837 0.59995997 0.93538576
838 0.3851505 0.935355
839 0.3083041 0.93542284
840 0.34473962 0.9354902
841 0.22710784 0.9356305
842 0.29871613 0.93564814
843 0.22958831 0.9357872
844 0.57859445 0.9357558
845 0.48657867 0.9357488
846 0.32688364 0.9357659
847 0.29910824 0.93580693
848 0.50376755 0.9357759
849 0.37058768 0.93581665
850 0.36544684 0.93580955
851 0.4477345 0.9358262
852 0.38592038 0.9358665
853 0.26168633 0.93595374
854 0.4128664 0.93594635
855 0.57847464 0.9358451
856 0.57076484 0.93576777
857 0.37053454 0.935831
858 0.28291157 0.93591714
859 0.54676014 0.93581706
860 0.5385568 0.93574077
861 0.4903911 0.93571097
862 0.4316674 0.9357505
863 0.31929052 0.9357897
864 0.3681631 0.93578297
865 0.4249677 0.9357534
866 0.6102725 0.9356785
867 0.60330266 0.93558127
868 0.36466947 0.9356205
869 0.3958239 0.9356369
870 0.36858138 0.93565315
871 0.5071539 0.9356469
872 0.50087386 0.9356631
873 0.33465734 0.9357015
874 0.39068568 0.9356952
875 0.39763433 0.9356889
876 0.42812032 0.9356826
877 0.29641658 0.9357648
878 0.25825787 0.93584657
879 0.39693305 0.93586195
880 0.30228862 0.93589914
881 0.49433243 0.93584865
882 0.4417964 0.93584204
883 0.5244874 0.9357702
884 0.38202468 0.9357856
885 0.5026732 0.9357792
886 0.38412693 0.9357945
887 0.46816507 0.93574506
888 0.41747952 0.9357388
889 0.4277396 0.93575406
890 0.32316095 0.9358547
891 0.5155903 0.93582696
892 0.4073709 0.93584186
893 0.3536629 0.93587786
894 0.45383936 0.9358926
895 0.32476616 0.9359494
896 0.3884292 0.9360059
897 0.42164937 0.93602014
898 0.38272768 0.9360343
899 0.3791106 0.93604845
900 0.4893233 0.93602085
901 0.3330721 0.93609726
902 0.33938992 0.93613183
903 0.3389828 0.9361662
904 0.2001291 0.936283
905 0.32411098 0.9363375
906 0.27566883 0.93643266
907 0.3743939 0.93644553
908 0.37362164 0.93645835
909 0.4896734 0.93643034
910 0.36671388 0.9364634
911 0.69184756 0.9363544
912 0.43753827 0.93636733
913 0.3477499 0.93638015
914 0.2661676 0.9364332
915 0.4251875 0.9364257
916 0.32260722 0.9364984
917 0.4123777 0.9364708
918 0.36275786 0.9364434
919 0.38070616 0.93647575
920 0.35477498 0.9365278
921 0.46289545 0.93654
922 0.43672034 0.9365521
923 0.3327674 0.9366036
924 0.31178373 0.93665487
925 0.34025642 0.93666667
926 0.31700504 0.9367175
927 0.45860302 0.9366901
928 0.50290495 0.9366433
929 0.3311143 0.93669385
930 0.46457264 0.93666667
931 0.32804793 0.9367169
932 0.4685034 0.93674767
933 0.36636487 0.9367783
934 0.37789294 0.9367896
935 0.46032858 0.9367816
936 0.37003288 0.9367928
937 0.33709994 0.9367849
938 0.2716213 0.9368531
939 0.4600981 0.9368451
