#Batch costTraining precTraining
669 0.016611936 0.9705128
670 0.090340756 0.9703431
671 0.064169094 0.9702729
672 0.062311076 0.9702519
673 0.03148907 0.9702794
674 0.038902514 0.9703065
675 0.04233054 0.9702857
676 0.08080289 0.9701231
677 0.029969273 0.97019774
678 0.032188132 0.97022474
679 0.07712497 0.9700652
680 0.07381525 0.9699537
681 0.023233248 0.9700276
682 0.04252152 0.9700549
683 0.027704233 0.9701275
684 0.030681552 0.9701993
685 0.08192606 0.9700901
686 0.05053373 0.9700717
687 0.0386887 0.9701426
688 0.040660914 0.9701684
689 0.013816917 0.9703263
690 0.04073995 0.97035086
691 0.100593 0.9701571
692 0.05753214 0.9701389
693 0.049056735 0.97016406
694 0.017339744 0.9702749
695 0.04391211 0.9702564
696 0.04428176 0.9702806
697 0.061133582 0.97021997
698 0.042464007 0.9702441
699 0.036507025 0.97030985
700 0.054153126 0.97033334
701 0.05573745 0.9702736
702 0.03393054 0.97029704
703 0.058866043 0.97027916
704 0.01914537 0.970384
705 0.0618191 0.9703659
706 0.03517069 0.97046924
707 0.08753043 0.9703301
708 0.022782916 0.97039264
709 0.04512613 0.9704147
710 0.033635538 0.9704762
711 0.020146888 0.97057664
712 0.048515987 0.9705975
713 0.066076666 0.97050077
714 0.06465054 0.9704439
715 0.00925764 0.9705814
716 0.032188967 0.970679
717 0.025054997 0.9707757
718 0.03530294 0.9707951
719 0.014838685 0.9708904
720 0.03743812 0.9709091
721 0.033800952 0.9709276
722 0.07501357 0.9707958
723 0.037739445 0.9707773
724 0.04852576 0.9707589
725 0.054265365 0.9707037
726 0.06467797 0.9706121
727 0.0705143 0.9705213
728 0.049637213 0.9705044
729 0.050705303 0.97045124
730 0.046023123 0.970471
731 0.045664933 0.9704546
732 0.05234893 0.9704023
733 0.041801088 0.970422
734 0.080682226 0.9702991
735 0.037950363 0.97031915
736 0.009122961 0.97040963
737 0.031952158 0.97042894
738 0.033286955 0.9704832
739 0.034307417 0.97053695
740 0.031124005 0.9705903
741 0.012252252 0.97067773
742 0.053750157 0.97066116
743 0.0354108 0.970679
744 0.016018765 0.9707992
745 0.07730755 0.9706803
746 0.09112423 0.9705285
747 0.031008672 0.970614
748 0.007352118 0.9707325
749 0.034140874 0.9707162
750 0.058522977 0.97066665
751 0.06135463 0.97068393
752 0.09761057 0.97060186
753 0.04742068 0.9705863
754 0.020928405 0.97066927
755 0.02305748 0.97075164
756 0.03863591 0.9707682
757 0.058152523 0.9707523
758 0.07154217 0.97067183
759 0.028701035 0.9707529
760 0.06518922 0.9706731
761 0.05736907 0.97059387
762 0.040378395 0.9706425
763 0.031911954 0.9706591
764 0.07075829 0.97061235
765 0.054004434 0.9705975
